countryName,1976,2016,gini,1976_,2016_
Angola,18.2,26.6,55,7900997,28813463
CotedIvoire,35,19.9,43.18,6922982,23695919
Ghana,30.5,24.2,42.77,10023472,28206728
Nigeria,20.6,28,48.8,65226229,185989640
CongoDR,26.3,16.7,48.94,23559071,78736153
Somalia,26,14,39.7,4289469,14317996
SouthAfrica,48.2,17.1,60.8,26354140,55908865
Benin,24.293,20.102,43.44,3347173,10872298
Botswana,13.572,44.138,51,857855,2250260
BurkinaFaso,7.151,23.537,35.3,6274037,18646433
Burundi,3.838,8.521,33.36,3739659,10524117
Cameroon,29.469,25.469,46.54,7669445,23439189
CapeVerde,22.209,43.978,47.19,273652,539560
CentralAfricanRepublic,32.897,7.435,56.24,2062405,4594621
Chad,17.413,5.205,43.32,4172230,14452543
Comoros,22.014,6.398,55.93,265953,795601
CongoR,45.091,20.707,48.94,1637941,5125821
Djibouti,69.178,8.252,44.13,248556,942333
Ethiopia,9.83,10.092,32.3,33146891,102403196
Gabon,47.633,39.733,42.18,663770,1979786
TheGambia,25.974,34.25,47.33,536409,2038501
Guinea,21.087,16.564,33.73,4381601,12395924
GuineaBissau,16.287,33.807,50.66,784156,1815698
Kenya,14.112,11.943,45.9,13996704,48461567
Lesotho,11.272,16.568,54.18,1179723,2203821
Liberia,32.252,17.848,36.48,1672300,4613823
Madagascar,17.184,18.557,42.65,7773449,24894551
Malawi,8.394,8.06,49.1,5454705,18091575
Mali,17.083,23.6,33.04,6596773,17994837
Mauritania,23.327,37.119,32.42,1367563,4301018
Mozambique,10.872,21.636,45.58,10632932,28829476
Namibia,24.21,23.415,59.7,927503,2479713
Niger,12.648,6.362,33.99,5334918,20672987
Rwanda,4.374,25.401,50.44,4499509,11917508
Senegal,34.718,9.347,40.29,5064674,15411614
SierraLeone,28.554,11.764,33.99,3062956,7396190
Sudan,8.553,10.477,46.34,12578407,39578828
Swaziland,15.753,5.562,51.45,533214,1343098
Tanzania,12.773,19.543,37.78,16493305,55572201
Togo,23.611,16.852,38.1,2464455,7606374
Uganda,7.197,9.247,41.01,11139833,41487965
Zambia,36.855,4.524,55.62,5139030,16591390
Zimbabwe,20.846,11.431,39,6308300,16150362
